Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2021-03-02,6,SOSPEL,0.01,Travaux (Particuliers),1157
Foret,2021-03-02,2A,LEVIE,0.0001,Travaux (Particuliers),1159
Foret,2021-03-03,2A,ALBITRECCIA,0.015,Travaux (Particuliers),1162
Foret,2021-03-03,2B,VALLE-DI-ROSTINO,0.496,Malveillance,1163
Foret,2021-03-03,2B,LORETO-DI-CASINCA,0.5,Malveillance,1164
Foret,2021-03-04,13,AURIOL,0.03,Vehicules,1165
Foret,2021-03-04,4,BEYNES,1.23,Travaux Forestiers,1169
Foret,2021-03-04,7,SAINT-ANDEOL-DE-VALS,0.03,Travaux Agricoles,1170
Foret,2021-03-04,6,COURSEGOULES,4.0,Interet,1171
Foret,2021-03-04,7,GENESTELLE,0.2,Jet D'Objets Incandescents,1173
Foret,2021-03-04,5,EYGLIERS,0.035,Malveillance,1175
Foret,2021-03-05,2B,LORETO-DI-CASINCA,2.5,Malveillance,1176
Foret,2021-03-05,2B,PORTA (LA),2.0,Malveillance,1177
Foret,2021-03-06,83,MOISSAC-BELLEVUE,0.025,Loisirs (Particuliers),1179
Foret,2021-03-06,5,EYGLIERS,0.01,Pyromanie,1181
Foret,2021-03-08,6,TRINITE (LA),0.05,Jet D'Objets Incandescents,1184
Foret,2021-03-08,4,CASTELLARD-MELAN (LE),2.1,Travaux Agricoles,1185
Foret,2021-03-09,7,SAINT-PIERREVILLE,1.0,Travaux Agricoles,1186
Foret,2021-03-10,5,BATIE-NEUVE (LA),4.15,Travaux Agricoles,1190
Foret,2021-03-11,4,VILLENEUVE,0.41,Travaux Industriels/Publics,1191
Foret,2021-03-11,34,MURVIEL-LES-BEZIERS,5.4906,Conflit,1192
Foret,2021-03-11,4,MANOSQUE,0.1,Travaux (Particuliers),1194
Foret,2021-03-12,66,SALSES-LE-CHATEAU,1.5,Malveillance,1196
Foret,2021-03-13,6,COURSEGOULES,0.8,Travaux Industriels/Publics,1197
Foret,2021-03-13,6,SAUZE,1.5,Travaux (Particuliers),1198
Foret,2021-03-13,66,PERPIGNAN,0.5,Travaux Agricoles,1199
Foret,2021-03-13,34,LUNAS,7.7012,Travaux Agricoles,1200
Foret,2021-03-13,2B,PIOGGIOLA,10.0,Interet,1201
Foret,2021-03-14,34,OLONZAC,0.1163,Conflit,1202
Foret,2021-03-14,2B,VALLECALLE,17.0,Malveillance,1203
Foret,2021-03-14,4,MURE-ARGENS (LA),1.53,Travaux (Particuliers),1207
Foret,2021-03-14,83,CASTELLET (LE),0.04,Jet D'Objets Incandescents,1210
Foret,2021-03-14,83,PUGET-SUR-ARGENS,0.2685,Travaux Agricoles,1212
Foret,2021-03-14,6,COURMES,3.6,Interet,1213
Foret,2021-03-15,13,CEYRESTE,0.04,Travaux Industriels/Publics,1215
Foret,2021-03-15,83,AUPS,0.4,Lignes Electriques,1216
Foret,2021-03-15,6,BEZAUDUN-LES-ALPES,0.25,Interet,1218
Foret,2021-03-16,83,SAINT-JULIEN,0.5,Loisirs (Particuliers),1219
Foret,2021-03-16,6,COURMES,0.72,Travaux Forestiers,1220
Foret,2021-03-16,13,GRANS,0.04,Travaux (Particuliers),1228
Foret,2021-03-16,13,EYGALIERES,0.4,Travaux (Particuliers),1229
Foret,2021-03-17,66,OPOUL-PERILLOS,1.5,Lignes Electriques,1237
Foret,2021-03-17,34,SAINT-PARGOIRE,4.4112,Travaux Agricoles,1242
Foret,2021-03-18,4,DIGNE-LES-BAINS,3.17,Loisirs (Particuliers),1245
Foret,2021-03-20,34,GRANDE-MOTTE (LA),0.0321,Involontaire (particulier),1250
Foret,2021-03-20,34,QUARANTE,1.03,Conflit,1252
Foret,2021-03-20,34,CRUZY,0.7298,Conflit,1253
Foret,2021-03-20,6,BEZAUDUN-LES-ALPES,0.5,Interet,1256
Foret,2021-03-20,13,SAINT-MARTIN-DE-CRAU,0.004,Travaux (Particuliers),1258
Foret,2021-03-21,34,POUZOLLES,21.6018,Travaux Forestiers,1260
Foret,2021-03-21,84,VELLERON,0.016,Travaux Industriels/Publics,1261
Foret,2021-03-21,66,BELESTA,0.3,Lignes Electriques,1262
Foret,2021-03-21,66,TORREILLES,1.0,Malveillance,1265
Foret,2021-03-21,34,SAINT-JEAN-DE-LA-BLAQUIERE,0.2311,Malveillance,1266
Foret,2021-03-22,66,ESPIRA-DE-L'AGLY,1.0,Lignes Electriques,1267
Foret,2021-03-22,13,AIX-EN-PROVENCE,0.002,Lignes Electriques,1268
Foret,2021-03-22,34,AUMELAS,0.2453,Interet,1269
Foret,2021-03-22,66,RABOUILLET,0.2,Malveillance,1270
Foret,2021-03-23,4,SISTERON,0.01,Depot d'Ordures,1274
Foret,2021-03-23,34,SOUBES,0.1522,Malveillance,1276
Foret,2021-03-23,4,PIERREVERT,0.07,Jet D'Objets Incandescents,1279
Foret,2021-03-24,4,SISTERON,0.002,Jet D'Objets Incandescents,1280
Foret,2021-03-24,7,SAINT-PIERRE-SAINT-JEAN,0.2,Travaux (Particuliers),1281
Foret,2021-03-24,4,PIERREVERT,0.033,Vehicules,1282
Foret,2021-03-24,34,BRENAS,9.7834,Travaux Agricoles,1284
Foret,2021-03-24,34,LUNAS,0.8065,Travaux Industriels/Publics,1285
Foret,2021-03-24,7,PRANLES,1.8,Travaux (Particuliers),1286
Foret,2021-03-24,2A,ZICAVO,0.005,Travaux (Particuliers),1287
Foret,2021-03-24,4,VILLENEUVE,0.12,Travaux (Particuliers),1288
Foret,2021-03-25,83,REGUSSE,0.169,Jet D'Objets Incandescents,1295
Foret,2021-03-25,13,SAINT-MARTIN-DE-CRAU,0.0005,Jet D'Objets Incandescents,1296
Foret,2021-03-26,5,SAINT-EUSEBE-EN-CHAMPSAUR,0.12,Malveillance,1302
Foret,2021-03-26,5,BENEVENT-ET-CHARBILLAC,0.05,Malveillance,1304
